PlayerId,PlayerName,Age,Gender,Country,City,TotalGamesPlayed,TotalWins,TotalLosses,TotalDraws,TotalIsFirst,AvgMoveDuration,AvgMoveAmount,AvgGameDuration,TotalWeekdaysPlayed,TotalWeekendsPlayed,TotalMorningPlays,TotalAfternoonPlays,TotalEveningPlays,TotalNightPlays,Churn,FirstMoveWinProbability,PlayerClass
40379ceb-babb-4b62-bd9a-2646a5e7a239,Player_2061,25,MALE,Canada,Sydney,1416,699,113,604,997,2.1153346421487313,22.524150465017655,24.324149691788257,346,1070,56,202,285,873,0.22803520655709775,0.8200172279444838,PRO_GAMER
7e132c3e-c270-4970-b93a-57edd0f5a28f,Player_7312,28,MALE,UK,Paris,866,203,195,468,24,3.105401795756965,38.11818474644037,32.166399343749774,378,488,10,91,30,735,0.3622558899250073,0.4284456101723194,OWL_PLAYER
e9bcfbd8-2066-46a8-bef5-8b8443d71191,Player_1686,18,MALE,Germany,Paris,144,63,26,55,79,9.545657199313725,41.97534096216128,40.41647091337059,13,131,22,34,34,54,0.4566350702611163,0.5161566464906349,FREQUENT_PLAYER
510800be-8cd6-4d5c-a432-673402c7721d,Player_6262,26,FEMALE,Germany,Toronto,1284,87,197,1000,1270,2.8306318430685655,32.45774330377533,23.00447583114333,623,661,221,121,250,692,0.21487933648555946,0.9064607029279125,PRO_GAMER
d709bb60-663a-41f6-a364-d5c1369ec9cf,Player_1276,38,MALE,Australia,London,1433,513,679,241,441,9.267916262552673,46.34220478835138,50.2362949423117,415,1018,221,273,283,656,0.0947786004451618,0.879465521237095,PRO_GAMER
06428813-e0d9-4a9e-afdc-e237c7158ef6,Player_4282,28,FEMALE,Germany,London,1048,183,66,799,163,9.11374652987902,34.37026273553113,54.67172303817121,200,848,53,35,196,764,0.26893262328777523,0.8618287320199477,PRO_GAMER
f82549f7-2e81-40ca-9d70-ea23b256c553,Player_8687,32,MALE,Canada,Paris,1357,208,305,844,164,2.961292731468385,35.930365826219244,25.99467862071689,409,948,157,237,239,724,0.10760147156602716,0.9758954213115157,PRO_GAMER
bcfbe54a-e661-4a6d-9385-81ed55d1a29c,Player_3233,20,FEMALE,UK,London,681,330,135,216,448,7.887476800928732,27.327519717846155,51.01268717215281,46,635,39,77,44,521,0.3160695709174419,0.6453928634643841,FAST_THINKER
1d79c889-758b-401f-9764-7a5f3f948852,Player_2302,27,FEMALE,Germany,Toronto,78,28,31,19,37,4.980244266465566,34.31105274589292,58.69786898499142,16,62,15,12,14,37,0.44421559934453897,0.5069792165871505,FREQUENT_PLAYER
011e5fbc-6bb5-449e-a317-b1ade615003f,Player_4832,36,FEMALE,France,Berlin,499,220,171,108,121,2.1323905517018336,27.30871923420534,41.655672263247254,53,446,7,84,60,348,0.34723846855944157,0.5741722651665477,OWL_PLAYER
4b80380b-7497-459a-b8b6-83101d6899d6,Player_3672,19,FEMALE,Australia,Paris,1137,304,237,596,225,8.645818281484352,44.845857543799234,45.68108630262007,149,988,130,275,96,636,0.25024882126361975,0.9041663224511853,PRO_GAMER
ffbc64b6-d475-4ebf-87c3-d871b1a03007,Player_3524,27,MALE,UK,Toronto,98,9,4,85,26,6.007088202986155,49.58386658616753,15.76230507242353,20,78,14,11,1,72,0.3493861224071001,0.5443380218483775,FREQUENT_PLAYER
433ecca9-5529-4149-a6c1-6eff606a8203,Player_7237,29,MALE,Germany,London,707,304,195,208,324,8.080219244561171,42.339675254590105,18.15357533473631,246,461,88,133,159,327,0.5554877500707115,0.38393568366723757,WORK_TIME_PLAYER
ecfb14fa-87b0-4938-a35a-c83b28fbb082,Player_1547,37,FEMALE,USA,Sydney,386,2,159,225,56,9.606977977565005,49.20837150736253,33.129779300741305,126,260,4,34,53,295,0.4133602327191526,0.45726191913396735,WORK_TIME_PLAYER
bd1255d1-1cc4-4e74-a767-f081222532f6,Player_2958,22,FEMALE,Canada,Berlin,1108,42,490,576,498,5.788439719615401,26.766366060605584,46.82931305930198,204,904,190,80,63,775,0.2550391237092904,0.8963287295194851,PRO_GAMER
e180533f-39d5-46e8-927c-16c93c846c2a,Player_8975,25,MALE,Australia,Berlin,919,32,363,524,164,3.340111655055529,33.94324231368735,55.59179904350467,57,862,156,145,224,394,0.4167385936498048,0.45580907329038123,TURTLE_SPEED
18ec1821-b271-4ebe-819e-787659ae00fe,Player_8259,25,FEMALE,Australia,Berlin,242,89,24,129,132,6.386020558388144,42.21285326259904,21.60236100744297,63,179,38,16,27,161,0.5696751763724892,0.6939622661384648,WORK_TIME_PLAYER
62a9c35d-cb34-4083-a472-f92e7c818709,Player_7951,21,MALE,UK,Sydney,1162,133,402,627,561,4.451592155907786,35.97817057027012,22.69471884847048,120,1042,223,163,103,673,0.08990676431507295,0.9481184750390328,PRO_GAMER
a3e90621-1756-4486-9d3c-a88a51e32b2f,Player_7177,25,FEMALE,Australia,Paris,533,238,129,166,189,4.079483727554094,32.80496270099727,24.792632714935976,261,272,28,49,83,373,0.5137362801622124,0.5275185111119823,WORK_TIME_PLAYER
1f4e2253-fe53-4d69-aab9-aeb752963908,Player_7847,20,MALE,France,New York,96,2,27,67,92,9.968629623475504,36.628640195591615,57.32402201315993,40,56,18,19,15,44,0.21999462123904154,0.5721984750507977,FREQUENT_PLAYER
682d054c-b4f7-4044-853f-ee0b8e0a110b,Player_4934,31,MALE,USA,Sydney,49,17,19,13,38,2.104050224136617,28.974241888302863,55.78360731868698,13,36,7,5,11,26,0.42894995980580264,0.28780505895130537,BEGINNER
06b81f04-72c2-4ca1-abeb-7a4b8bbfe751,Player_8544,21,MALE,Australia,Sydney,541,187,131,223,83,9.650097803877905,38.67398711466119,41.121671564504055,224,317,134,134,16,257,0.5639580804146145,0.3780302250283319,FAST_THINKER
afecce84-f57f-4e80-bec7-ca49928ac95a,Player_9546,39,FEMALE,France,Berlin,1227,227,248,752,775,7.603233057477691,23.83712956082218,40.92581401273161,362,865,132,237,208,650,0.10387814282892098,0.9987340905489899,PRO_GAMER
bd8e6d52-1740-40cd-820b-bbd744e09187,Player_3704,37,MALE,UK,New York,497,217,247,33,94,9.96397543601158,21.746231560938483,54.164388224068205,248,249,14,58,40,385,0.4610162310651321,0.42537701694560526,TURTLE_SPEED
2bfacfbb-b733-420b-984d-d204323931ec,Player_3729,30,FEMALE,Australia,New York,347,121,130,96,102,3.473582083600806,41.14154836919952,32.905562000436916,124,223,42,15,69,221,0.4364147262779078,0.5085007928594152,OWL_PLAYER
bc9fb88b-4c07-488e-baf6-025f4c146d93,Player_2862,32,FEMALE,UK,London,1369,48,357,964,662,7.579388518500281,28.199914364792996,47.7447799622682,597,772,42,302,31,994,0.09438319436039246,0.8909966772235621,PRO_GAMER
3e6caba2-3ba0-4b52-8d65-22a3f02fe49b,Player_7636,35,MALE,Australia,London,1329,14,25,1290,820,3.718673027845335,31.046373805627745,41.740061830198854,213,1116,317,254,113,645,0.1354236970477839,0.9481987022579997,PRO_GAMER
ea985d54-cdfc-4821-a86d-1e36a7ac1982,Player_5564,38,MALE,Canada,London,1372,297,47,1028,583,9.28528243912345,31.320520389309113,17.022063215624257,609,763,308,314,113,637,0.2661899308050117,0.9050721334472807,PRO_GAMER
695b5b19-6fea-4b04-bd62-3ac101fd443a,Player_1053,23,MALE,Australia,New York,397,52,189,156,230,8.549620179654305,28.65485391879685,23.384189439680807,139,258,73,98,35,191,0.4669619986101817,0.6374381089312592,TURTLE_SPEED
e3868af6-bb33-4078-8206-d880966a349f,Player_3156,19,FEMALE,France,Paris,1416,223,415,778,1066,8.812175863768829,25.47606943517024,24.254632573658164,552,864,206,96,60,1054,0.17952098068957667,0.8318029093897668,PRO_GAMER
